from,to,distance_km,transport_mode,emissions_kgCO2e
RB,USA_LVG,9554.000436670443,air,64565.93495101886
RB,MEX,10021.237091156552,air,67723.52026203598
RB,BRA,9582.103698778861,air,64755.85679634754
RB,QAT,4172.391312775164,air,28197.020491734558
RB,ABD,4460.682308793085,air,30145.291042823672
ALL,BAH,5083.849541952843,air,34356.655204517316
ALL,SAU,4742.868871589337,air,32052.30783420074
ALL,AUS,16903.697614052297,air,114235.18847576542
ALL,JPN,9523.222206687215,air,64357.9356727922
ALL,CHN,9196.463665234258,air,62149.70144965312
ALL,MIA,7126.000350317629,air,48157.510367446535
ALL,MON,1237.7695756308499,land,1021.1598998954512
ALL,CAN,5220.892925480432,air,35282.79439039676
ALL,ESP,1367.3332793031593,land,1128.0499554251064
ALL,MAD,1516.0975558593286,land,1250.7804835839463
ALL,AUT,1413.7997351038348,land,1166.3847814606638
ALL,GBR,107.57688264021131,land,88.75092817817433
ALL,HUN,1749.6588675222736,land,1443.4685657058758
ALL,BEL,530.3507262101492,land,437.53934912337314
ALL,NED,400.0287915738761,land,330.02375304844776
ALL,MONZ,1139.721172423513,land,940.2699672493983
ALL,SIN,10847.37965551725,air,73306.59171198559
ALL,AZE,3969.9326871347207,air,26828.80509965644
ALL,USA_COT,7910.079486235547,air,53456.317167979825
ALL,USA_LVG,8401.772163176644,air,56779.17627874776
ALL,MEX,8928.726748110446,air,60340.335363730395
ALL,BRA,9497.425213302857,air,64183.59959150071
ALL,QAT,5201.601814636079,air,35152.42506331063
ALL,ABD,5474.542555317951,air,36996.958588838716
